date,content
2021-10-19 20:26:45+00:00,"@RightWingWatch I can't believe that there are actually people who believe this shit.

But there's a disturbing high number of people who still think that COVID is a hoax, so I guess I shouldn't be surprised."
2021-10-19 15:12:19+00:00,What will be the actual death count? #Covid_19 https://t.co/aiNoQH3Q35
2021-10-19 14:19:22+00:00,"#YFMNews
A recent 2021 TB report by the World Health Organization @WHO indicates that Covid-19 has increased TB deaths for the first time after a decade."
2021-10-19 14:19:21+00:00,"#NewsUpdate
Malawi’s work on community Tuberculosis has been affected by the Covid-19 pandemic, the National TB Control Program has reported.
@health_malawi @MalawiGovt @WHO  
https://t.co/RCaXJfMzcG

Reported by Lisa Lamya https://t.co/ushqgGd756"
2021-10-19 14:01:44+00:00,"Oakland County has a mask mandate.  

Number of COVID cases? 0

Tell me again that masks don't help slow the spread? https://t.co/nFOs0wbCrS"
2021-10-19 12:59:38+00:00,@William28006414 I had covid last year n to be honest i do think iv been left with a weakness i seem to be catching colds flu etc more frequently the burning in my left lung was unbearable but all i can do like yourself is live ur life ..its real m8 as the nose on my face ..look after yourself xx
2021-10-19 09:21:48+00:00,"Almost 5 month have gone since the Malawi Police service (MPS) made arrests of people involved in the alleged plunder of K6.2 billion Covid-19 funds and more arrests are yet to be made.

So far, only 62 people were arrested.  #JamesKadadzera

https://t.co/oaLMPffss6 https://t.co/C3jHxOm09Q"
2021-10-19 08:52:54+00:00,@Shamen360 @nevets2698 Do not trust the lateral flow tests ...my doctors surgery now advising every1 to book PCR tests as they aint sensitive enough to pick up the covid virus ...this is an automated message whenever u call the surgery now xx
2021-10-19 08:42:54+00:00,@nevets2698 Myself and members of my family hit by the flu/sickness bugs all within last 5weeks or so ...including my 21month grandaughter and my 81yr old parents ...none covid related just unlucky to catch normal viruses that have been around fr years xx
2021-10-19 08:21:52+00:00,@KEA182 Thanks Kirsty❤ ...i take Tumeric capsules everyday but i shall give the ginger a go aswell ...it isnt Covid related either as iv been tested twice for it xx
2021-10-18 11:56:21+00:00,"@hughhewitt Well, then you better not support Comrade Trump who talks nonstop about the big, beautiful, strong leadership of Xi Jinping and possibly tried to collaborate with him on COVID propaganda."
2021-10-18 09:05:00+00:00,"Malawi goes four days without Covid-19 deaths
https://t.co/tePedeqPj4
#NationOnline https://t.co/nb1xPST7zu"
2021-10-17 14:33:30+00:00,@SpursOfficial @OfficialFPL Who started the rumor that Son has covid?
2021-10-17 14:32:41+00:00,Lmfao no ways Twitter started a rumor that Son has Covid and I believed it and got a -4 for taking him out🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴 https://t.co/PYNEq8s9Zh
2021-10-16 09:58:19+00:00,"Covid-19 has affected a lot of people's employment.
What career changes have you been forced to make?"
2021-10-15 19:40:23+00:00,"Covid-19 pandemic has created the largest disruption of educations systems across the world. This has brought changes in our lives, with reopening of schools after relaxation of restrictions is a challenge that @ReachFor_Life and @gymobilization  is working on. https://t.co/JH2MOB9nG6"
2021-10-15 17:41:26+00:00,uma tia distante minha ta com covid e comprou invermectina kkkkkk todo dia dando graças a deus que n convivo c esse tipo de gente
2021-10-15 16:44:32+00:00,"@lizzywol I binge-watched Arrested Development during Covid.

Very refreshing. They would be cancelled today by the PC police."
2021-10-14 17:59:06+00:00,@Reborn265 Imatha 10... Two services to avoid the church kudzadza kwambiri ndi ma covid wa
2021-10-14 08:45:51+00:00,"Pa mother's day pano Lambanie Dube and the Sound Slaves akhala pa Mibawa Multipurpose Hall madzulo nthawi ya 8:00PM. Pakhomo ndi K2000 yokha basi. Bwerani tizawasangalalire anakubala limodzi!!

Ndondomeko zopewela COVID-19 zizatsatidwa.

#CreativityThatDazzles https://t.co/otcN9WLaEF"
2020-09-13 11:47:13+00:00,Ka Sitting arrangement ka Covid aka wina amuwida nako ku College https://t.co/tTPy5VHU2X
2020-07-14 11:47:10+00:00,"So a Lemon is now selling at k200 each.

Kungomva kuti it's a remedy for Corona Virus/Covid-19."
2020-07-12 12:51:51+00:00,"The life and times of COVID-19 #2020

Staying energised by all means necessary, though jogging in a mask around lunchtime is not a walk in park in these parts. It is also very hazy today... hence the selfie blur.… https://t.co/3daD0BZ0dY"
2020-05-03 08:48:50+00:00,#PressFreedom #WPFD2020 #COVID__19 #JournalismWithoutFearOrFavour #NationOnline https://t.co/2wITFRLXqq
2020-04-06 13:22:25+00:00,"Yet to start ""Work from Home"" but we are safe here. #Covid_19 #Malawi https://t.co/sR6IMZX0Vc"
